Chemical,Consumer,Month,Demand
H2,j4,10,8.2220364922693
NaOH,j3,3,444.8757048009825
NaOH,j5,1,262.0729130722489
Cl2,j1,11,1087.8274655791686
H2,j2,12,12.304722047285571
H2,j2,3,9.700979645663917
NaOH,j3,4,335.5953714691237
H2,j7,9,8.746567641600535
NaOH,j3,5,357.1849803297855
Cl2,j6,6,516.3487387599273
Cl2,j6,9,426.4889064223742
NaOH,j3,2,391.44413017454093
H2,j7,4,7.044292899252469
NaOH,j8,5,428.6219763957426
NaOH,j5,2,293.5830976309057
Cl2,j1,4,1455.5587443064264
H2,j7,12,8.78908717663255
Cl2,j6,2,478.49155397663617
NaOH,j5,6,290.4046128498007
Cl2,j1,10,1449.040723359019
H2,j7,8,8.262150689828022
Cl2,j1,6,1161.7846622098364
NaOH,j8,9,503.46332342805545
Cl2,j3,7,2231.299620741874
NaOH,j5,11,289.49097524906307
H2,j2,10,9.86644379072316
Cl2,j6,11,483.4788735907416
NaOH,j3,11,385.9879669987508
Cl2,j1,3,1140.5342302216964
Cl2,j6,4,646.9149974695229
NaOH,j5,3,333.65677860073686
H2,j7,6,5.540626983355854
H2,j7,2,8.434711160079521
Cl2,j3,4,1940.7449924085686
Cl2,j6,5,598.2113047105415
H2,j7,11,4.899556750153485
H2,j4,11,5.7161495418457315
H2,j4,5,6.770922244549752
NaOH,j8,2,469.73295620944907
NaOH,j3,9,419.55276952337954
H2,j7,10,7.047459850516543
H2,j2,8,11.567010965759232
Cl2,j1,5,1345.9754355987184
H2,j7,7,9.630006957617127
Cl2,j1,8,1568.8560029108082
Cl2,j3,12,2350.5248314915366
H2,j4,7,11.235008117219982
Cl2,j6,1,559.7423112649284
H2,j4,6,6.464064813915162
NaOH,j5,4,251.69652860184274
H2,j4,2,9.840496353426108
H2,j2,7,13.482009740663978
Cl2,j6,8,697.2693346270258
NaOH,j8,7,547.3900702542584
NaOH,j5,9,314.66457714253465
NaOH,j5,5,267.8887352473391
NaOH,j8,6,464.6473805596811
NaOH,j8,10,461.38785804416045
Cl2,j6,10,644.0180992706751
Cl2,j3,8,2091.8080038810776
NaOH,j8,4,402.7144457629484
NaOH,j5,7,342.11879390891147
H2,j2,2,11.80859562411133
Cl2,j3,5,1794.6339141316246
Cl2,j1,9,959.600039450342
H2,j4,3,8.084149704719932
H2,j2,4,9.862010058953457
H2,j2,9,12.245194698240748
Cl2,j1,2,1076.6059964474314
NaOH,j3,12,383.2242619227038
NaOH,j3,8,371.78081177301755
Cl2,j3,3,1520.712306962262
NaOH,j8,11,463.1855603985009
H2,j4,9,10.204328915200625
H2,j2,5,8.125106693459703
Cl2,j3,6,1549.046216279782
Cl2,j6,12,783.5082771638456
Cl2,j3,10,1932.0542978120254
H2,j2,11,6.859379450214878
Cl2,j3,1,1679.2269337947853
Cl2,j1,7,1673.4747155564057
H2,j4,12,10.253935039404643
H2,j2,1,12.356188812659912
NaOH,j8,8,446.13697412762104
H2,j4,8,9.63917580479936
NaOH,j8,1,419.3166609155983
Cl2,j3,2,1435.4746619299085
Cl2,j6,3,506.90410232075396
NaOH,j3,7,456.1583918785486
NaOH,j5,12,287.41819644202786
Cl2,j1,1,1259.420200346089
Cl2,j3,11,1450.4366207722248
NaOH,j3,1,349.43055076299856
Cl2,j1,12,1762.8936236186526
Cl2,j3,9,1279.4667192671227
H2,j7,1,8.825849151899936
H2,j7,3,6.929271175474227
NaOH,j5,8,278.83560882976315
NaOH,j3,6,387.2061504664009
NaOH,j8,12,459.86911430724456
H2,j2,6,7.756877776698195
NaOH,j5,10,288.3674112776003
H2,j4,4,8.218341715794548
H2,j7,5,5.803647638185502
H2,j4,1,10.296824010549926
NaOH,j8,3,533.850845761179
Cl2,j6,7,743.7665402472915
NaOH,j3,10,384.48988170346706
